source,target,graph_id
30064771110,30064771111,3
30064771112,30064771113,3
30064771114,30064771115,3
30064771118,30064771119,3
30064771117,30064771118,3
30064771115,30064771116,3
30064771116,30064771117,3
111669149699,30064771104,3
30064771150,55834574853,11
30064771153,30064771154,11
146028888071,128849018891,11
30064771149,30064771150,11
30064771152,30064771153,11
30064771154,55834574854,11
30064771154,30064771156,11
30064771148,30064771149,11
30064771151,30064771152,11
146028888070,128849018891,11
30064771157,55834574856,11
55834574852,30064771148,11
55834574853,30064771151,11
30064771155,146028888070,11
30064771156,30064771157,11
30064771166,184683593728,11
55834574854,30064771155,11
184683593728,55834574858,11
184683593728,146028888071,11
30064771163,55834574857,11
30064771165,30064771166,11
30064771169,55834574855,11
30064771161,184683593728,11
30064771162,30064771163,11
30064771164,30064771165,11
30064771168,30064771169,11
30064771160,30064771158,11
30064771159,30064771161,11
55834574856,30064771162,11
55834574857,30064771164,11
30064771167,30064771168,11
55834574855,30064771160,11
30064771158,30064771159,11
55834574858,30064771167,11
111669149707,55834574852,11
30064771083,30064771084,2
30064771085,55834574848,2
30064771088,30064771089,2
30064771090,30064771091,2
30064771092,30064771093,2
146028888064,128849018882,2
30064771082,30064771083,2
30064771084,30064771085,2
30064771087,30064771088,2
30064771089,30064771090,2
30064771091,30064771092,2
30064771086,30064771087,2
30064771094,30064771095,2
30064771096,30064771097,2
30064771098,30064771099,2
30064771100,30064771101,2
30064771102,146028888064,2
55834574848,30064771086,2
30064771093,30064771094,2
30064771095,30064771096,2
30064771097,30064771098,2
30064771099,30064771100,2
30064771101,30064771102,2
111669149698,30064771082,2
111669149741,128849018925,45
30064771299,30064771300,27
30064771311,128849018907,27
180388626443,30064771299,27
30064771301,30064771302,27
30064771303,30064771304,27
30064771304,30064771305,27
30064771305,30064771306,27
30064771310,30064771311,27
30064771300,30064771301,27
30064771302,30064771303,27
30064771307,55834574872,27
30064771309,30064771310,27
30064771306,30064771307,27
30064771308,30064771309,27
55834574872,30064771308,27
111669149723,180388626443,27
111669149733,128849018917,37
30064771187,30064771188,18
30064771193,30064771194,18
30064771232,30064771233,18
180388626438,30064771187,18
30064771189,30064771190,18
30064771191,30064771192,18
30064771192,30064771193,18
30064771195,30064771196,18
30064771197,124554051593,18
124554051593,30064771232,18
30064771233,128849018898,18
30064771233,30064771234,18
30064771188,30064771189,18
30064771190,30064771191,18
30064771194,30064771195,18
30064771196,30064771197,18
30064771234,128849018898,18
111669149714,180388626438,18
30064771072,128849018880,0
111669149696,30064771072,0
30064771174,55834574860,13
30064771176,146028888073,13
146028888073,128849018893,13
30064771173,30064771174,13
30064771175,30064771176,13
55834574860,30064771175,13
111669149709,30064771173,13
146028888087,128849018915,35
30064771343,146028888087,35
111669149731,30064771343,35
30064771276,55834574867,25
30064771278,55834574868,25
30064771280,30064771281,25
30064771282,30064771283,25
30064771275,30064771276,25
30064771277,30064771278,25
30064771279,30064771280,25
30064771281,30064771282,25
55834574867,30064771277,25
55834574868,30064771279,25
30064771283,55834574866,25
30064771274,30064771284,25
30064771273,30064771274,25
30064771284,30064771284,25
30064771284,128849018905,25
55834574866,30064771273,25
111669149721,30064771275,25
111669149743,128849018927,47
30064771135,128849018889,9
30064771134,30064771135,9
55834574849,30064771134,9
111669149705,55834574849,9
30064771265,180388626442,24
30064771266,30064771267,24
30064771268,30064771269,24
30064771285,124554051598,24
30064771298,128849018904,24
180388626441,30064771265,24
180388626442,30064771266,24
30064771267,30064771268,24
30064771270,30064771271,24
30064771272,124554051597,24
124554051597,30064771285,24
124554051598,30064771298,24
30064771269,30064771270,24
30064771271,30064771272,24
111669149720,180388626441,24
146028888086,128849018914,34
30064771342,146028888086,34
111669149730,30064771342,34
111669149742,128849018926,46
30064771136,124554051590,8
30064771147,124554051591,8
30064771170,128849018888,8
124554051589,30064771136,8
124554051590,30064771147,8
124554051591,30064771170,8
111669149704,124554051589,8
30064771073,30064771074,1
30064771103,124554051585,1
30064771120,128849018881,1
180388626432,30064771073,1
30064771075,30064771076,1
30064771077,30064771078,1
30064771079,30064771080,1
30064771081,124554051584,1
124554051584,30064771103,1
124554051585,30064771120,1
30064771074,30064771075,1
30064771076,30064771077,1
30064771078,30064771079,1
30064771080,30064771081,1
111669149697,180388626432,1
146028888072,128849018892,12
30064771172,146028888072,12
30064771171,180388626436,12
180388626436,30064771172,12
180388626435,55834574859,12
55834574859,30064771171,12
111669149708,180388626435,12
